date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
16/01/2024,650000.0,75010,Local industriel. commercial ou assimilé,74.0,0.0,,10,8784.0
04/01/2024,330000.0,75010,Appartement,37.0,2.0,,10,8919.0
17/01/2024,1450000.0,75010,Local industriel. commercial ou assimilé,44.0,0.0,,10,32955.0
12/01/2024,280000.0,75017,Appartement,25.0,2.0,,17,11200.0
19/01/2024,178000.0,75020,Appartement,20.0,1.0,,20,8900.0
08/01/2024,2455776.0,75017,Appartement,199.0,5.0,,17,12341.0
17/01/2024,110000.0,75017,Appartement,23.0,1.0,,17,4783.0
16/01/2024,275900.0,75010,Appartement,32.0,2.0,,10,8622.0
22/01/2024,5000000.0,75008,Appartement,124.0,4.0,,8,40323.0
22/01/2024,165500.0,75018,Appartement,23.0,1.0,,18,7196.0
22/01/2024,165500.0,75018,Appartement,9.0,1.0,,18,18389.0
15/01/2024,1365085.0,75017,Appartement,105.0,4.0,,17,13001.0
15/01/2024,1365085.0,75017,Appartement,38.0,2.0,,17,35923.0
16/01/2024,500000.0,75019,Appartement,66.0,3.0,,19,7576.0
17/01/2024,569850.0,75018,Appartement,57.0,3.0,,18,9997.0
16/01/2024,645450.0,75019,Appartement,100.0,5.0,,19,6454.0
11/01/2024,189000.0,75010,Appartement,14.0,1.0,,10,13500.0
03/01/2024,260000.0,75017,Appartement,28.0,2.0,,17,9286.0
19/01/2024,105000.0,75018,Appartement,9.0,1.0,,18,11667.0
22/01/2024,250000.0,75018,Appartement,31.0,1.0,,18,8065.0
19/01/2024,2800000.0,75002,Appartement,133.0,5.0,,2,21053.0
12/01/2024,2393600.0,75003,Local industriel. commercial ou assimilé,143.0,0.0,,3,16738.0
18/01/2024,567215.0,75017,Appartement,47.0,3.0,,17,12068.0
12/01/2024,256500.0,75020,Appartement,25.0,1.0,,20,10260.0
16/01/2024,222100.0,75009,Appartement,27.0,1.0,,9,8226.0
10/01/2024,208000.0,75018,Appartement,22.0,2.0,,18,9455.0
12/01/2024,703400.0,75010,Appartement,73.0,3.0,,10,9636.0
